2012 04 11 19 18 44	1334186324324	apple	184	477
2012 04 11 19 18 44	1334186324332	apple	203	471
2012 04 11 19 18 44	1334186324340	cream	222	466
2012 04 11 19 18 44	1334186324388	right	261	449
2012 04 11 19 18 44	1334186324395	right	261	448
2012 04 11 19 18 44	1334186324404	right	262	448
2012 04 11 19 18 44	1334186324420	right	262	447
2012 04 11 19 18 44	1334186324428	right	263	446
2012 04 11 19 18 44	1334186324437	right	266	444
2012 04 11 19 18 44	1334186324444	right	276	439
2012 04 11 19 18 44	1334186324655	wow	719	469
2012 04 11 19 18 44	1334186324680	person	776	488
2012 04 11 19 18 44	1334186324684	person	785	493
2012 04 11 19 18 44	1334186324696	person	791	497
2012 04 11 19 18 44	1334186324702	person	796	501
2012 04 11 19 18 44	1334186324760	almond	811	526
2012 04 11 19 18 44	1334186324776	almond	818	537
2012 04 11 19 18 45	1334186325108	almond	819	537
2012 04 11 19 18 45	1334186325116	almond	814	530
2012 04 11 19 18 45	1334186325140	person	797	496
2012 04 11 19 18 45	1334186325164	kind	792	452
2012 04 11 19 18 45	1334186325213	college	796	392
2012 04 11 19 18 45	1334186325220	college	794	384
2012 04 11 19 18 45	1334186325556	teas	543	225
2012 04 11 19 18 45	1334186325564	teas	542	225
2012 04 11 19 18 45	1334186325572	teas	541	225
2012 04 11 19 18 45	1334186325580	teas	540	224
2012 04 11 19 18 45	1334186325596	teas	539	223
2012 04 11 19 18 45	1334186325620	teas	540	223
2012 04 11 19 18 45	1334186325628	teas	540	224
2012 04 11 19 18 45	1334186325636	teas	540	225
2012 04 11 19 18 45	1334186325644	teas	540	227
2012 04 11 19 18 45	1334186325652	teas	539	228
2012 04 11 19 18 45	1334186325661	teas	539	229
2012 04 11 19 18 45	1334186325692	teas	538	230
2012 04 11 19 18 45	1334186325700	teas	538	231
2012 04 11 19 18 45	1334186325748	board games	526	237
2012 04 11 19 18 45	1334186325756	board games	523	238
2012 04 11 19 18 45	1334186325765	board games	520	238
2012 04 11 19 18 45	1334186325773	board games	515	240
2012 04 11 19 18 45	1334186325780	board games	510	241
2012 04 11 19 18 45	1334186325788	board games	502	244
2012 04 11 19 18 45	1334186325796	board games	495	245
2012 04 11 19 18 45	1334186325804	board games	488	248
2012 04 11 19 18 45	1334186325812	board games	483	251
2012 04 11 19 18 45	1334186325820	board games	477	252
2012 04 11 19 18 45	1334186325828	board games	472	255
2012 04 11 19 18 45	1334186325836	board games	467	258
2012 04 11 19 18 45	1334186325844	stars	463	261
2012 04 11 19 18 45	1334186325852	bubble tea	459	265
2012 04 11 19 18 45	1334186325860	bubble tea	455	270
2012 04 11 19 18 45	1334186325874	bubble tea	451	274
2012 04 11 19 18 45	1334186325876	bubble tea	450	278
2012 04 11 19 18 45	1334186325884	bubble tea	448	280
2012 04 11 19 18 45	1334186325892	bubble tea	447	281
2012 04 11 19 18 45	1334186325900	bubble tea	447	282
2012 04 11 19 18 45	1334186325940	bubble tea	447	283
2012 04 11 19 18 45	1334186325956	bubble tea	446	284
2012 04 11 19 18 45	1334186325964	bubble tea	446	285
2012 04 11 19 18 45	1334186325981	bubble tea	446	286
2012 04 11 19 18 46	1334186326012	bubble tea	446	287
2012 04 11 19 18 46	1334186326109	bubble tea	447	287
2012 04 11 19 18 46	1334186326116	bubble tea	448	287
2012 04 11 19 18 46	1334186326125	bubble tea	449	286
2012 04 11 19 18 46	1334186326132	bubble tea	450	286
2012 04 11 19 18 46	1334186326140	bubble tea	451	286
2012 04 11 19 18 46	1334186326148	bubble tea	452	286
2012 04 11 19 18 46	1334186326213	bubble tea	452	285
2012 04 11 19 18 46	1334186326220	bubble tea	453	285
2012 04 11 19 18 46	1334186326317	bubble tea	454	285
2012 04 11 19 18 46	1334186326373	bubble tea	455	285
2012 04 11 19 18 46	1334186326388	bubble tea	456	285
2012 04 11 19 18 46	1334186326485	bubble tea	457	285
2012 04 11 19 18 46	1334186326516	bubble tea	458	285
2012 04 11 19 18 46	1334186326580	bubble tea	458	286
2012 04 11 19 18 46	1334186326668	bubble tea	459	286
2012 04 11 19 18 46	1334186326676	bubble tea	460	286
2012 04 11 19 18 46	1334186326708	bubble tea	461	286
2012 04 11 19 18 49	1334186329998	bubble tea	448	287
2012 04 11 19 18 50	1334186330472	bubble tea	448	284
2012 04 11 19 18 50	1334186330636	bubble tea	448	283
2012 04 11 19 18 50	1334186330772	bubble tea	448	285
2012 04 11 19 18 50	1334186330780	bubble tea	447	289
2012 04 11 19 18 50	1334186330788	tapioca	443	301
2012 04 11 19 18 50	1334186330804	tables	428	347
2012 04 11 19 20 20	1334186420636	real fruit	709	549
2012 04 11 19 20 20	1334186420644	real fruit	707	549
2012 04 11 19 20 20	1334186420652	real fruit	705	549
2012 04 11 19 20 22	1334186422372	real fruit	710	539
2012 04 11 19 20 22	1334186422380	real fruit	717	533
2012 04 11 19 20 22	1334186422388	bit	723	527
2012 04 11 19 20 22	1334186422420	person	761	487
2012 04 11 19 20 22	1334186422436	kind	784	457
2012 04 11 19 20 22	1334186422468	college	817	385
2012 04 11 19 20 22	1334186422516	strawberry	813	238
2012 04 11 19 20 22	1334186422684	punch	400	151
2012 04 11 19 20 22	1334186422724	business	396	344
2012 04 11 19 20 22	1334186422732	students	415	375
2012 04 11 19 20 22	1334186422756	christian music	512	416
2012 04 11 19 20 22	1334186422764	christian music	559	414
2012 04 11 19 20 22	1334186422772	christian music	607	412
2012 04 11 19 20 22	1334186422780	cash	654	403
2012 04 11 19 20 22	1334186422789	board	699	390
2012 04 11 19 20 22	1334186422797	smoothie	743	373
2012 04 11 19 20 22	1334186422868	ave.	815	190
2012 04 11 19 20 22	1334186422956	games	458	167
2012 04 11 19 20 22	1334186422988	bubble tea	410	292
2012 04 11 19 20 23	1334186423004	bible verses	417	338
2012 04 11 19 20 23	1334186423012	verses	430	353
2012 04 11 19 20 23	1334186423020	verses	447	362
2012 04 11 19 20 23	1334186423084	bubbles	634	335
2012 04 11 19 20 23	1334186423092	environment	645	323
2012 04 11 19 20 23	1334186423109	drinks	645	299
2012 04 11 19 20 23	1334186423117	milk	640	286
2012 04 11 19 20 23	1334186423124	milk	629	271
2012 04 11 19 20 23	1334186423172	fruit	510	202
2012 04 11 19 20 23	1334186423180	fruit	489	202
2012 04 11 19 20 23	1334186423196	fresh fruit	453	218
